FID IID Pop
2427 NA19919 ASW
2431 NA19916 ASW
2424 NA19835 ASW
2469 NA20282 ASW
2368 NA19703 ASW
2425 NA19902 ASW
2425 NA19901 ASW
2427 NA19908 ASW
2430 NA19914 ASW
2470 NA20287 ASW
2484 NA20335 ASW
2436 NA19713 ASW
2426 NA19904 ASW
2431 NA19917 ASW
2436 NA19982 ASW
2487 NA20340 ASW
2475 NA20297 ASW
2427 NA19909 ASW
2424 NA19834 ASW
2480 NA20317 ASW
2418 NA19818 ASW
2471 NA20290 ASW
2474 NA20295 ASW
2490 NA20346 ASW
2433 NA19921 ASW
2469 NA20281 ASW
2495 NA20359 ASW
2477 NA20301 ASW
2492 NA20349 ASW
2474 NA20294 ASW
2485 NA20337 ASW
2494 NA20357 ASW
2425 NA19900 ASW
2446 NA20128 ASW
2491 NA20348 ASW
2471 NA20289 ASW
2489 NA20344 ASW
2483 NA20333 ASW
2466 NA20277 ASW
2476 NA20300 ASW
2418 NA19819 ASW
2488 NA20343 ASW
2357 NA19625 ASW
2483 NA20332 ASW
2367 NA19700 ASW
2472 NA20291 ASW
2488 NA20342 ASW
2484 NA20334 ASW
2494 NA20356 ASW
2472 NA20292 ASW
2492 NA20350 ASW
2467 NA20279 ASW
2470 NA20288 ASW
2469 NA20284 ASW
2371 NA19712 ASW
2481 NA20322 ASW
2368 NA19704 ASW
2437 NA19714 ASW
2367 NA19701 ASW
2494 NA20358 ASW
2496 NA20363 ASW
2495 NA20360 ASW
2433 NA20129 ASW
2368 NA19705 ASW
2424 NA19836 ASW
2480 NA20319 ASW
2489 NA20345 ASW
2477 NA20302 ASW
2371 NA19711 ASW
2490 NA20347 ASW
2367 NA19702 ASW
2446 NA20126 ASW
2496 NA20364 ASW
2485 NA20336 ASW
2430 NA19915 ASW
2369 NA19708 ASW
2487 NA20341 ASW
2431 NA19918 ASW
2418 NA19828 ASW
2437 NA19985 ASW
2466 NA20276 ASW
2446 NA20127 ASW
2436 NA19983 ASW
1328 NA06989 CEU
1377 NA11891 CEU
1349 NA11843 CEU
1330 NA12341 CEU
1444 NA12739 CEU
1344 NA10850 CEU
1328 NA06984 CEU
1463 NA12877 CEU
1418 NA12275 CEU
13291 NA06986 CEU
1418 NA12272 CEU
1424 NA10845 CEU
1346 NA10852 CEU
13292 NA07051 CEU
1354 NA12400 CEU
13281 NA12344 CEU
1451 NA12777 CEU
1421 NA12287 CEU
1418 NA10837 CEU
1353 NA12383 CEU
1330 NA12340 CEU
1358 NA12708 CEU
1418 NA12273 CEU
1377 NA11892 CEU
1353 NA12546 CEU
1458 NA12843 CEU
1451 NA12766 CEU
13281 NA12348 CEU
1456 NA12817 CEU
1421 NA10840 CEU
13291 NA06997 CEU
1423 NA11917 CEU
1358 NA12718 CEU
1421 NA12282 CEU
1423 NA11920 CEU
1451 NA12776 CEU
1421 NA12283 CEU
13291 NA07435 CEU
1456 NA12828 CEU
13291 NA07045 CEU
13292 NA07031 CEU
1330 NA12336 CEU
1345 NA07349 CEU
1456 NA12827 CEU
1353 NA12375 CEU
1330 NA12343 CEU
1330 NA12335 CEU
1451 NA12778 CEU
1458 NA12832 CEU
1424 NA11930 CEU
1463 NA12890 CEU
13291 NA07037 CEU
1345 NA07347 CEU
1456 NA12829 CEU
1444 NA12749 CEU
1377 NA11894 CEU
1421 NA12286 CEU
1377 NA10865 CEU
1377 NA10864 CEU
1349 NA10853 CEU
1423 NA11918 CEU
1456 NA12830 CEU
1456 NA12818 CEU
1418 NA10836 CEU
1377 NA11893 CEU
1423 NA11919 CEU
1353 NA12489 CEU
1354 NA12399 CEU
1355 NA12413 CEU
1423 NA10843 CEU
1458 NA12842 CEU
13281 NA12347 CEU
1345 NA07346 CEU
1451 NA12775 CEU
13292 NA07014 CEU
1451 NA12767 CEU
1463 NA12889 CEU
1354 NA12386 CEU
13291 NA06995 CEU
1353 NA12376 CEU
1330 NA12342 CEU
1444 NA12748 CEU
1424 NA11931 CEU
1346 NA12045 CEU
1444 NA12750 CEU
1350 NA11831 CEU
1334 NA12146 CEU
1347 NA11882 CEU
1340 NA07056 CEU
1358 NA12707 CEU
1408 NA12154 CEU
1447 NA12753 CEU
1349 NA11839 CEU
1347 NA10859 CEU
1459 NA12875 CEU
1345 NA07348 CEU
1408 NA12156 CEU
1346 NA12044 CEU
1362 NA11992 CEU
1350 NA11829 CEU
1334 NA12239 CEU
1447 NA12762 CEU
1358 NA12716 CEU
1463 NA12878 CEU
1350 NA10856 CEU
1459 NA12874 CEU
1447 NA12760 CEU
1341 NA06985 CEU
1420 NA12003 CEU
1416 NA10835 CEU
1340 NA07022 CEU
1454 NA12813 CEU
1420 NA10839 CEU
1341 NA07055 CEU
1344 NA12056 CEU
1375 NA10863 CEU
1334 NA12145 CEU
1454 NA12814 CEU
1334 NA10847 CEU
1420 NA12006 CEU
1447 NA12763 CEU
1345 NA07357 CEU
1334 NA12144 CEU
1408 NA10831 CEU
1340 NA07000 CEU
1350 NA11832 CEU
1341 NA06991 CEU
1349 NA11840 CEU
1454 NA12802 CEU
1447 NA12761 CEU
1408 NA10830 CEU
1350 NA10855 CEU
1340 NA06994 CEU
1362 NA11993 CEU
1362 NA11995 CEU
1463 NA12891 CEU
1459 NA12864 CEU
1444 NA12751 CEU
1362 NA10861 CEU
1420 NA12005 CEU
1375 NA12234 CEU
1345 NA07345 CEU
1340 NA07029 CEU
1463 NA12892 CEU
1416 NA12248 CEU
1334 NA10846 CEU
1454 NA12801 CEU
1459 NA12872 CEU
1408 NA12155 CEU
1341 NA06993 CEU
1350 NA11830 CEU
1420 NA10838 CEU
1416 NA12249 CEU
1344 NA12057 CEU
1454 NA12812 CEU
1347 NA11881 CEU
1362 NA11994 CEU
1459 NA12873 CEU
1454 NA12815 CEU
1444 NA12740 CEU
1447 NA12752 CEU
1346 NA12043 CEU
1375 NA12264 CEU
1349 NA10854 CEU
1459 NA12865 CEU
NA18597 NA18597 CHB
NA18615 NA18615 CHB
NA18557 NA18557 CHB
NA18628 NA18628 CHB
NA18745 NA18745 CHB
NA18640 NA18640 CHB
NA18747 NA18747 CHB
NA18596 NA18596 CHB
NA18536 NA18536 CHB
NA18599 NA18599 CHB
NA18544 NA18544 CHB
NA18602 NA18602 CHB
NA18614 NA18614 CHB
NA18548 NA18548 CHB
NA18616 NA18616 CHB
NA18559 NA18559 CHB
NA18619 NA18619 CHB
NA18638 NA18638 CHB
NA18639 NA18639 CHB
NA18627 NA18627 CHB
NA18631 NA18631 CHB
NA18634 NA18634 CHB
NA18642 NA18642 CHB
NA18626 NA18626 CHB
NA18543 NA18543 CHB
NA18610 NA18610 CHB
NA18617 NA18617 CHB
NA18613 NA18613 CHB
NA18647 NA18647 CHB
NA18630 NA18630 CHB
NA18641 NA18641 CHB
NA18748 NA18748 CHB
NA18749 NA18749 CHB
NA18757 NA18757 CHB
NA18546 NA18546 CHB
NA18643 NA18643 CHB
NA18645 NA18645 CHB
NA18534 NA18534 CHB
NA18595 NA18595 CHB
NA18618 NA18618 CHB
NA18740 NA18740 CHB
NA18524 NA18524 CHB
NA18635 NA18635 CHB
NA18537 NA18537 CHB
NA18572 NA18572 CHB
NA18592 NA18592 CHB
NA18526 NA18526 CHB
NA18529 NA18529 CHB
NA18558 NA18558 CHB
